MATURITY,COUPON,BID,ASKED,CHG,ASKED YIELD
10/31/2022,2.000,102.0020,102.0060,-0.0020,0.099
11/15/2022,1.625,101.2060,101.2120,-0.0040,0.119
11/15/2022,7.625,108.0820,108.0860,-0.0040,0.136
11/30/2022,0.125,99.3120,99.3160,-0.0020,0.132
11/30/2022,2.000,102.0420,102.0460,-0.0040,0.126
12/15/2022,1.625,101.2420,101.2460,-0.0020,0.131
12/31/2022,0.137,99.3040,99.3100,-0.0060,0.150
12/31/2022,2.125,102.1320,102.1360,-0.0040,0.149
1/15/2023,1.500,101.2260,101.2320,-0.0060,0.141
1/31/2023,0.125,99.2960,99.3020,-0.0060,0.167
1/31/2023,1.750,102.0240,102.0300,-0.0060,0.156
1/31/2023,2.375,102.2900,102.2940,-0.0040,0.150
2/15/2023,1.375,101.2020,101.2060,-0.0040,0.158
2/15/2023,2.000,102.1540,102.1600,-0.0080,0.154
2/15/2023,7.125,109.1300,109.1340,-0.0100,0.166
2/28/2023,0.125,99.2900,99.2940,-0.0040,0.181
2/28/2023,1.500,101.2700,101.2740,-0.0040,0.168
2/28/2023,2.625,103.1300,103.1340,-0.0060,0.173
3/15/2023,0.500,100.1420,100.1460,-0.0040,0.179
3/31/2023,0.125,99.2820,99.2860,-0.0040,0.194
3/31/2023,1.500,101.2960,101.3020,-0.0060,0.184
3/31/2023,2.500,103.1260,103.1320,-0.0080,0.190
4/15/2023,0.250,100.0220,100.0260,-0.0020,0.193
4/30/2023,0.125,99.2720,99.2760,-0.0040,0.210
4/30/2023,1.625,102.0640,102.0700,-0.0080,0.204
4/30/2023,2.750,103.3040,103.3100,-0.0080,0.209
5/15/2023,0.125,99.2700,99.2740,-0.0040,0.213
5/15/2023,1.750,102.1460,102.1520,-0.0060,0.205
5/31/2023,0.125,99.2620,99.2660,-0.0040,0.225
5/31/2023,1.625,102.0920,102.0960,-0.0080,0.223
5/31/2023,2.750,104.0440,104.0500,-0.0080,0.221
6/15/2023,0.250,100.0040,100.0100,-0.0060,0.231
6/30/2023,0.125,99.2560,99.2620,-0.0060,0.229
6/30/2023,1.375,101.3100,101.3140,-0.0040,0.226
6/30/2023,2.625,104.0340,104.0400,-0.0080,0.236
7/15/2023,0.125,99.2500,99.2540,-0.0040,0.240
7/31/2023,0.125,99.2440,99.2500,-0.0060,0.246
7/31/2023,1.250,101.2560,101.2620,-0.0080,0.244
7/31/2023,2.750,104.1640,104.1700,-0.0080,0.247
8/15/2023,0.125,99.2360,99.2420,-0.0060,0.256
8/15/2023,2.500,104.0440,104.0500,-0.0080,0.254
8/15/2023,6.250,111.0320,111.0360,-0.0120,0.243
8/31/2023,0.125,99.2240,99.2300,-0.0080,0.274
8/31/2023,1.375,102.0240,102.0300,-0.0080,0.268
8/31/2023,2.750,104.2140,104.2200,-0.0100,0.272
9/15/2023,0.125,99.2200,99.2240,-0.0060,0.279
9/30/2023,0.250,99.2860,99.2920,-0.0080,0.294
9/30/2023,1.375,102.0420,102.0460,-0.0100,0.287
9/30/2023,2.875,105.0240,105.0300,-0.0100,0.294
10/15/2023,0.125,99.2040,99.2100,-0.0020,0.296
10/31/2023,1.625,102.2200,102.2240,-0.0060,0.311
10/31/2023,2.875,105.0840,105.0900,-0.0100,0.308
11/15/2023,0.250,99.2720,99.2760,-0.0080,0.313
11/15/2023,2.750,105.0300,105.0340,-0.0060,0.314
11/30/2023,2.125,103.2660,103.2720,-0.0100,0.324
11/30/2023,2.875,105.1360,105.1420,-0.0100,0.328
12/15/2023,0.125,99.1640,99.1700,-0.0080,0.340
12/31/2023,2.250,104.0660,104.0720,-0.0100,0.346
12/31/2023,2.625,105.0100,105.0140,-0.0060,0.344
1/15/2024,0.125,99.1440,99.1500,-0.0080,0.360
1/31/2024,2.500,104.2840,104.2900,-0.0120,0.370
2/15/2024,0.125,99.1300,99.1340,-0.0100,0.372
2/15/2024,2.750,105.1840,105.1900,-0.0120,0.363
2/29/2024,2.125,104.0460,104.0520,-0.0100,0.379
2/29/2024,2.375,104.2260,104.2320,-0.0140,0.393
3/15/2024,0.250,99.1960,99.2020,-0.0140,0.401
3/31/2024,2.125,104.0620,104.0660,-0.0140,0.417
4/15/2024,0.375,99.2740,99.2800,-0.0100,0.425
4/30/2024,2.000,104.0060,104.0120,unch.,0.415
4/30/2024,2.250,104.2060,104.2120,0.0020,0.420
5/15/2024,0.250,99.1600,99.1640,0.0040,0.437
5/15/2024,2.500,105.1140,105.1200,unch.,0.424
5/31/2024,2.000,104.0260,104.0320,0.0020,0.440
6/15/2024,0.250,99.1320,99.1360,-0.0020,0.464
6/30/2024,1.750,103.1540,103.1600,unch.,0.459
6/30/2024,2.000,104.0520,104.0560,-0.0020,0.458
7/15/2024,0.375,99.2220,99.2260,unch.,0.480
7/31/2024,1.750,103.1760,103.1820,-0.0040,0.472
7/31/2024,2.125,104.1860,104.1920,-0.0040,0.477
8/15/2024,0.375,99.2000,99.2040,unch.,0.502
8/15/2024,2.375,105.1020,105.1060,-0.0080,0.491
8/31/2024,1.250,102.0360,102.0420,-0.0060,0.508
8/31/2024,1.875,103.3000,103.3040,-0.0060,0.499
9/15/2024,0.375,99.1700,99.1740,-0.0060,0.531
9/30/2024,1.500,102.2760,102.2820,-0.0100,0.524
9/30/2024,2.125,104.2220,104.2260,-0.0100,0.530
10/31/2024,1.500,102.2820,102.2860,-0.0100,0.545
10/31/2024,2.250,105.0520,105.0560,-0.0120,0.544
11/15/2024,2.250,105.0600,105.0640,-0.0120,0.558
11/15/2024,7.500,121.1260,121.1320,-0.0100,0.538
11/30/2024,1.500,102.2820,102.2860,-0.0040,0.570
11/30/2024,2.125,104.2700,104.2740,-0.0040,0.565
12/31/2024,1.750,103.2260,103.2320,-0.0060,0.584
12/31/2024,2.250,105.0960,105.1020,-0.0080,0.585
1/31/2025,1.375,102.1540,102.1600,-0.0080,0.612
1/31/2025,2.500,106.0660,106.0720,-0.0040,0.600
2/15/2025,2.000,104.1840,104.1900,-0.0020,0.615
2/15/2025,7.625,123.1120,123.1160,-0.0100,0.583
2/28/2025,1.125,101.2040,101.2100,-0.0080,0.632
2/28/2025,2.750,107.0360,107.0420,-0.0040,0.625
3/31/2025,0.500,99.1420,99.1460,unch.,0.657
3/31/2025,2.625,106.2460,106.2520,-0.0040,0.649
4/30/2025,0.375,98.2860,98.2920,-0.0040,0.684
4/30/2025,2.875,107.2300,107.2340,-0.0060,0.676
5/15/2025,2.125,105.0260,105.0320,-0.0060,0.690
5/31/2025,0.250,98.1060,98.1120,unch.,0.709
5/31/2025,2.875,107.2620,107.2660,-0.0040,0.696
6/30/2025,0.250,98.0740,98.0800,-0.0060,0.726
6/30/2025,2.750,107.1420,107.1460,-0.0080,0.720
7/31/2025,0.250,98.0360,98.0420,-0.0040,0.747
7/31/2025,2.875,108.0020,108.0060,-0.0080,0.738
8/15/2025,2.000,104.2340,104.2400,-0.0020,0.748
8/15/2025,6.875,123.1040,123.1100,-0.0180,0.725
8/31/2025,0.250,97.3140,98.0000,-0.6860,0.772
8/31/2025,2.750,107.1960,107.2020,-0.0100,0.759
9/30/2025,0.250,97.2820,97.2860,-0.0080,0.787
9/30/2025,3.000,108.2200,108.2240,-0.0060,0.776
10/31/2025,0.250,97.2340,97.2400,-0.0080,0.814
10/31/2025,3.000,108.2500,108.2540,-0.0100,0.797
11/15/2025,2.250,105.2500,105.2540,-0.0100,0.812
11/30/2025,0.375,98.0340,98.0400,-0.0100,0.836
11/30/2025,2.875,108.1120,108.1160,-0.0100,0.819
12/31/2025,0.375,98.0020,98.0060,-0.0080,0.852
12/31/2025,2.625,107.1240,107.1300,-0.0120,0.839
1/31/2026,0.375,97.2800,97.2840,-0.0100,0.874
1/31/2026,2.625,107.1500,107.1540,-0.0100,0.855
2/15/2026,1.625,103.0560,103.0620,-0.0140,0.876
2/15/2026,6.000,121.3100,121.3140,-0.6920,0.848
2/28/2026,0.500,98.1040,98.1100,-0.0100,0.885
2/28/2026,2.500,107.0040,107.0100,-0.0100,0.867
3/31/2026,0.750,99.1000,99.1040,-0.0120,0.903
3/31/2026,2.250,105.3020,105.3060,-0.0120,0.890
4/30/2026,0.750,99.0820,99.0860,-0.0100,0.913
4/30/2026,2.375,106.1740,106.1800,-0.0120,0.904
5/15/2026,1.625,103.0460,103.0520,-0.0140,0.922
5/31/2026,0.750,99.0520,99.0560,-0.0100,0.931
5/31/2026,2.125,105.1440,105.1500,-0.0120,0.920
6/30/2026,0.875,99.2060,99.2120,-0.0060,0.948
6/30/2026,1.875,104.1060,104.1120,-0.0100,0.933
7/31/2026,0.625,98.1300,98.1340,-0.0120,0.961
7/31/2026,1.875,104.1140,104.1200,-0.0100,0.943
8/15/2026,1.500,102.1720,102.1760,-0.0100,0.960
8/15/2026,6.750,127.1560,127.1620,-0.0180,0.941
8/31/2026,0.750,98.2940,98.3000,-0.0160,0.973
8/31/2026,1.375,101.2960,101.3020,-0.0100,0.967
9/30/2026,0.875,99.1500,99.1540,-0.0100,0.981
9/30/2026,1.625,103.0420,103.0460,-0.0100,0.976
10/31/2026,1.625,103.0400,103.0440,0.0160,0.988
11/15/2026,2.000,104.3020,104.3060,unch.,1.001
11/15/2026,6.500,127.1340,127.1400,-0.0060,0.978
11/30/2026,1.625,103.0260,103.0320,0.0040,1.005
12/31/2026,1.750,103.2320,103.2360,0.0080,1.014
1/31/2027,1.500,102.1240,102.1300,0.0020,1.034
2/15/2027,2.250,106.0800,106.0840,0.0060,1.044
2/15/2027,6.625,129.0420,129.0460,-0.0180,1.019
2/28/2027,1.125,100.1160,100.1220,-0.0040,1.052
3/31/2027,0.625,97.2000,97.2040,0.0040,1.069
4/30/2027,0.500,96.2500,96.2540,0.0060,1.095
5/15/2027,2.375,106.3120,106.3160,0.0020,1.086
5/31/2027,0.500,96.2000,96.2040,0.0040,1.115
6/30/2027,0.500,96.1800,96.1840,0.0080,1.118
7/31/2027,0.375,95.2340,95.2400,0.0080,1.132
8/15/2027,2.250,106.1040,106.1100,0.0140,1.127
8/15/2027,6.375,129.2800,129.2840,-0.0220,1.092
8/31/2027,0.500,96.0840,96.0900,0.0080,1.154
10/31/2027,0.500,96.0020,96.0060,0.6900,1.181
11/15/2027,2.250,106.1040,106.1100,0.0120,1.170
11/15/2027,6.125,129.1120,129.1160,-0.0120,1.133
11/30/2027,0.625,96.1960,96.2020,0.0120,1.195
12/31/2027,0.625,96.1600,96.1640,0.0080,1.207
1/31/2028,0.750,97.0360,97.0420,0.0060,1.223
2/15/2028,2.750,109.1400,109.1440,0.0140,1.201
2/29/2028,1.125,99.1240,99.1300,0.0180,1.222
3/31/2028,1.250,100.0120,100.0160,0.7000,1.241
4/30/2028,1.250,99.3100,99.3140,0.0180,1.253
5/15/2028,2.875,110.1120,110.1160,0.0200,1.236
5/31/2028,1.250,99.2820,99.2860,0.0200,1.266
6/30/2028,1.250,99.2560,99.2620,0.0200,1.278
7/31/2028,1.000,98.0260,98.0320,0.0200,1.292
8/15/2028,2.875,110.1600,110.1640,0.0240,1.269
8/15/2028,5.500,127.2560,127.2620,0.0120,1.253
8/31/2028,1.125,98.2700,98.2740,0.0280,1.298
9/30/2028,1.250,99.1820,99.1860,0.0020,1.312
11/15/2028,3.125,112.1140,112.1240,0.0200,1.294
11/15/2028,5.250,127.0120,127.0220,0.6960,1.256
2/15/2029,2.625,109.0160,109.0260,0.7040,1.325
2/15/2029,5.250,127.1940,127.2040,0.0240,1.298
5/15/2029,2.375,107.1120,107.1220,0.0200,1.350
8/15/2029,1.625,101.2700,101.2800,0.0140,1.372
8/15/2029,6.125,135.2520,135.2620,0.0200,1.311
11/15/2029,1.750,102.2460,102.2560,0.0220,1.383
2/15/2030,1.500,100.2100,100.2200,0.0260,1.412
5/15/2030,0.625,93.1020,93.1120,0.0180,1.450
5/15/2030,6.250,139.1260,139.1360,0.0300,1.376
8/15/2030,0.625,93.0060,93.0160,0.0060,1.464
11/15/2030,0.875,94.2800,94.2900,0.0100,1.475
2/15/2031,1.125,96.2660,96.2760,0.0160,1.485
2/15/2031,5.375,134.1700,134.1800,0.0400,1.417
5/15/2031,1.625,101.0420,101.0520,0.0420,1.495
8/15/2031,1.250,97.1560,97.1660,0.0120,1.522
2/15/2036,4.500,136.2000,136.2100,0.1060,1.627
2/15/2037,4.750,141.0160,141.0260,0.7760,1.699
5/15/2037,5.000,144.2560,144.2660,0.1160,1.713
2/15/2038,4.375,136.2740,136.2840,0.1240,1.768
5/15/2038,4.500,138.2900,138.3100,0.1280,1.779
2/15/2039,3.500,124.1920,124.2120,0.1180,1.834
5/15/2039,4.250,136.0800,136.1000,0.8160,1.828
8/15/2039,4.500,140.1240,140.1440,0.8180,1.833
11/15/2039,4.375,138.1740,138.1940,0.1400,1.855
2/15/2040,4.625,142.2860,142.3060,0.1440,1.853
5/15/2040,1.125,86.1120,86.1320,0.0960,2.003
5/15/2040,4.375,139.0460,139.0660,0.7940,1.870
8/15/2040,1.125,86.0120,86.0320,0.7780,2.015
8/15/2040,3.875,131.0260,131.0460,0.7900,1.901
11/15/2040,1.375,89.2720,89.2920,0.1060,2.014
11/15/2040,4.250,137.1360,137.1560,0.1200,1.901
2/15/2041,1.875,97.2600,97.2800,0.1080,2.008
2/15/2041,4.750,146.0320,146.0520,0.8200,1.891
5/15/2041,2.250,103.3040,104.0040,0.1200,2.001
5/15/2041,4.375,140.0220,140.0420,0.8260,1.911
8/15/2041,1.750,95.1740,95.1940,0.1000,2.020
8/15/2041,3.750,129.2020,129.2220,0.1480,1.941
11/15/2041,3.125,119.0400,119.0600,0.8000,1.965
2/15/2042,3.125,119.1040,119.1240,0.8100,1.965
5/15/2042,3.000,116.3140,117.0140,0.1280,1.988
